JobTitle,Company,Location,Salary,TypeofJob,Skills,MoreInfo,clean_jobtitle,Label
HOT Kỹ sư cầu nối - BrSE (Tiếng Nhật N2),Talent Success,Hồ Chí Minh,"2,000 - 2,500 USD",Human Resource,"Japanese - N2, BrSE",https://topdev.vn/viec-lam/ky-su-cau-noi-brse-tieng-nhat-n2-talent-success-2026859,cầu nối - brse ( tiếng nhật n ),Android
JUNIOR/MIDDLE REACTJS DEVELOPER,Ceres Solutions,"Quận Tân Bình, Hồ Chí Minh","Lên tới 40,000,000 VND",Phần Mềm,"AngularJS, Front-End, ReactJS, VueJS, Redux, NextJS",https://topdev.vn/viec-lam/junior-middle-reactjs-developer-ceres-solutions-2026856,/ reactjs,Android
NodeJS Developer,TAPTAP,"Quận 1, Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,"MongoDB, REST API, elasticsearch, NodeJS",https://topdev.vn/viec-lam/nodejs-developer-taptap-2026860,nodejs,BackEnd
Data Engineer (Oracle Golden Gate/ IBM Data Stage/ Oracle Data Integrator),FE CREDIT,"Quận 4, Hồ Chí Minh",Thương lượng,Fintech,"Oracle, SQL, Database Administrator, Data Engineer, PL/SQL",https://topdev.vn/viec-lam/data-engineer-oracle-golden-gate-ibm-data-stage-oracle-data-integrator-fe-credit-2026879,data ( oracle golden gate/ ibm data stage/ oracle data integrator ),Android
Senior Data Analysis - Credit Bureau,FE CREDIT,"Quận 4, Hồ Chí Minh",Thương lượng,Fintech,"SQL, Data Analytics, Data Reporting Analyst",https://topdev.vn/viec-lam/senior-data-analysis-credit-bureau-fe-credit-2026880,data analysis - credit bureau,Android
Full-Stack Developer,SHIFT ASIA,"Quận 1, Hồ Chí Minh","Lên tới 3,500 USD",Phần Mềm,"PHP, Magento, Java, JavaScript, Ruby on Rails, Python, NodeJS, REST API, ReactJS",https://topdev.vn/viec-lam/full-stack-developer-shift-asia-2026893,full-stack,Android
Front-End Developer (VueJs),FireGroup Technology,"Quận 11, Hồ Chí Minh","700 - 2,000 USD",Phần Mềm,"JavaScript, Front-End, VueJS",https://topdev.vn/viec-lam/front-end-developer-vuejs-firegroup-technology-2026894,front-end ( vuejs ),FrontEnd
"DATA PLATFORM MANAGER (Up to $4,000)","NEYU Ltd.,","Quận 3, Hồ Chí Minh","Lên tới 4,000 USD",Thương mại điện tử/ Bán lẻ,"SQL, MySQL, Data Science, Technical Architect, JavaEE, Power BI Specialist",https://topdev.vn/viec-lam/data-platform-manager-up-to-4-000-neyu-ltd-2026974,data platform manager ( ),Android
"HOT Developer (.NET Core, Java, RESTful API, Oracle)",Ngân hàng Quốc Tế VIB,"Quận 1, Hồ Chí Minh",Thương lượng,Ngân Hàng,".NET Core, ASP.NET Core, REST API, MS SQL",https://topdev.vn/viec-lam/developer-net-core-java-restful-api-oracle-ngan-hang-quoc-te-vib-2027004,( .net java restful api oracle ),Android
Unit Head of Mobile Application & Integration (Digital Bank),FE CREDIT,"Quận 4, Hồ Chí Minh",Thương lượng,Fintech,"Front-End, Software Architect, Flutter, CRM System, IT Manager, Mobile",https://topdev.vn/viec-lam/unit-head-of-mobile-application-integration-digital-bank-fe-credit-2026964,unit head of mobile application & integration ( digital bank ),Android
Junior Tester,ELPIS BATTLE,"Quận Đống Đa, Hà Nội",Thương lượng,"Giải trí/ Game, Phần Mềm, Creative Production, Technology and Computer Sciences",Game Tester,https://topdev.vn/viec-lam/junior-tester-elpis-battle-2027013,tester,Android
Fresher/Junior/Senior PHP Developer,INNOCHEE,"Quận 1, Hồ Chí Minh","500 - 3,000 USD",Phần Mềm,"PHP, JavaScript, Laravel, Full-Stack",https://topdev.vn/viec-lam/fresher-junior-senior-php-developer-innochee-2027016,// php,Android
