Id,JobTitle,Company,Location,Salary,TypeofJob,Description,Require,MoreInfo
59,"Web Developer (ASP.NET) | Up to $2,000",Công ty Cổ phần Công Nghệ Vũ Thảo,"Quận Tân Bình, Hồ Chí Minh","Lên tới 2,000 USD",Dịch vụ doanh nghiệp,Số lượng cần tuyển: 8,"ASP.NET, C#, .NET, JavaScript, ReactJS",https://topdev.vn/viec-lam/web-developer-asp-net-up-to-2-000-cong-ty-co-phan-cong-nghe-vu-thao-2026921
60,[HÀ NỘI] Senior System Analyst,NTT DATA Vietnam,"Quận Cầu Giấy, Hà Nội",Thương lượng,"Dịch vụ doanh nghiệp, Dịch vụ IT",,System Admin,https://topdev.vn/viec-lam/ha-noi-senior-system-analyst-ntt-data-vietnam-2026828
61,CHUYÊN VIÊN KIỂM THỬ PHẦN MỀM (TESTER),Công ty Cổ phần Công Nghệ Vũ Thảo,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,Dịch vụ doanh nghiệp,,Tester,https://topdev.vn/viec-lam/chuyen-vien-kiem-thu-phan-mem-tester-cong-ty-co-phan-cong-nghe-vu-thao-2026927
62,Senior Line Manager,SHIFT ASIA,"Quận 1, Hồ Chí Minh",Thương lượng,Phần Mềm,SHIFT ASIA is a leading company in Software Testing & Development with prominent market share in Japan. With the growth of the business and the transf...,"Software Developer, Angular, JavaScript, ReactJS, Japanese, English",https://topdev.vn/viec-lam/senior-line-manager-shift-asia-2026926
63,Mobile Developer (Java/Kotlin/Swift/Objective C),Công ty CP CQ TDT Asia,"Quận Nam Từ Liêm, Quận Nam Từ Liêm - Hà Nội","Lên tới 2,000 USD",Phần Mềm,,"Swift, Android, iOS, Java, Objective-C, Mobile, Kotlin",https://topdev.vn/viec-lam/mobile-developer-java-kotlin-swift-objective-c-cong-ty-cp-cq-tdt-asia-2026923
64,Dynamics 365|AX Developer,NaviWorld Vietnam,"Quận Bình Thạnh, Hồ Chí Minh - Quận Hoàn Kiếm, Hà Nội","1,000 - 1,200 USD",Triển Khai Phần Mềm,Chúng tôi đang tìm kiếm nhân viên cho vị trí Lập trình viên giải pháp Microsoft Dynamics 365 Operations | Microsoft Dynamics AX để đáp ứng nhu cầu phá...,"C++, SQL, .NET, Microsoft Dynamics AX, Microsoft Dynamics 365",https://topdev.vn/viec-lam/dynamics-365-ax-developer-naviworld-vietnam-2026932
65,Full Stack .NET Engineer,Công Ty Cổ Phần Torus Engineering,Hà Nội,"1,000 - 2,500 USD",Phần Mềm,"Torus Engineering is looking for Full-Stack .Net Engineers who are results-oriented, multifaceted and can work independently or in a team environment,...","C#/ Oop/ Net Framwork, API, React/Typescript, ASP.NET, .NET",https://topdev.vn/viec-lam/full-stack-net-engineer-cong-ty-co-phan-torus-engineering-2026935
66,"Developer (Flutter, .NET Core, ReactJS)",Công ty Cổ Phần Thế Giới Di Động,"Thành phố Thủ Đức, Hồ Chí Minh","800 - 1,800 USD","Thương mại điện tử/ Bán lẻ, Bán lẻ",Welcome all talented Software Developers to JOIN IN the newest project of MWG!,"REST API, Front-End, Back-End, ReactJS, .NET Core, Flutter, ASP.NET Core, Mobile",https://topdev.vn/viec-lam/developer-flutter-net-core-reactjs-cong-ty-co-phan-the-gioi-di-dong-2026936
67,Project Manager/Business Analyst (English),BrickMate Group,"Quận 10, Hồ Chí Minh",Thương lượng,"Phần Mềm, Outsourcing, Product","Top 3 Reasons To Join Us Competitive salary  Opportunity to work with big Korean companies such as Lotte, Kumho, LG, etc. Project Incentive & Bir...","Project Manager, Business Analyst",https://topdev.vn/viec-lam/project-manager-business-analyst-english-brickmate-group-2026937
68,"Tester (QA/ QC) - Up to $1,200",Seal Commerce,"Quận Thanh Xuân, Hà Nội","700 - 1,200 USD",Phần Mềm,We are looking for 2 Middle Testers to assess software quality through Manual Testing for Ecommerce Domain. You will be responsible for ensuring that...,"UI/UX, QA, QC, Tester, Mobile, Manual Test",https://topdev.vn/viec-lam/tester-qa-qc-up-to-1-200-seal-commerce-2026938
